Material,Material_Type,Su,Sy,E,G,mu,Ro,Material_Type_Encoded
ANSI Steel SAE 1015 as-rolled,Steel,421.0,314.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1015 normalized,Steel,424.0,324.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1015 annealed,Steel,386.0,284.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1020 as-rolled,Steel,448.0,331.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1020 normalized,Steel,441.0,346.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1020 annealed,Steel,395.0,295.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1022 as-rolled,Steel,503.0,359.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1022 normalized,Steel,483.0,359.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1022 annealed,Steel,450.0,317.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1030 as-rolled,Steel,552.0,345.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1030 normalized,Steel,517.0,345.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1030 annealed,Steel,464.0,341.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1030 tempered at 400 F,Steel,848.0,648.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1040 as-rolled,Steel,621.0,414.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1040 normalized,Steel,590.0,374.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1040 annealed,Steel,519.0,353.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1040 tempered at 400 F,Steel,779.0,593.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1050 as-rolled,Steel,724.0,414.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1050 normalized,Steel,748.0,427.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1050 annealed,Steel,636.0,365.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1050 tempered at 600 F,Steel,979.0,724.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1060 as-rolled,Steel,814.0,483.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1060 normalized,Steel,776.0,421.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1060 annealed,Steel,626.0,372.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1060 tempered at 600 F,Steel,1103.0,779.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1080 as-rolled,Steel,965.0,586.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1080 normalized,Steel,1010.0,524.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1080 annealed,Steel,615.0,376.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1080 tempered at 600 F,Steel,1252.5,867.5,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1095 as-rolled,Steel,965.0,572.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1095 normalized,Steel,1014.0,500.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1095 annealed,Steel,657.0,379.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1095 tempered at 400 F,Steel,1252.5,827.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1117 as-rolled,Steel,487.0,305.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1117 normalized,Steel,467.0,303.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1117 annealed,Steel,429.0,279.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1118 as-rolled,Steel,521.0,316.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1118 normalized,Steel,477.0,319.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1118 annealed,Steel,450.0,284.0,207000.0,79000.0,0.3,7860.0,4
ANSI Steel SAE 1137 as-rolled,Steel,627.0,379.0,207000.0,79000.0,0.3,7860.0,4
